home_team,away_team,home_score,home_xg,away_score,away_xg,Attendance,Venue,Round,Date,Score,Host,Year
Spain,Brazil,0,,1,,35748,"Jalisco, Guadalajara",Group stage,01-06-1986,0–1,Mexico,1986
Canada,France,0,,1,,65500,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,01-06-1986,0–1,Mexico,1986
Bulgaria,Italy,1,,1,,96000,"Estadio Azteca, Mexico City",Group stage,31-05-1986,1–1,Mexico,1986
Italy,West Germany,3,,1,,90000,"Santiago Bernabeu, Madrid",Final,11-07-1982,3–1,Spain,1982
Poland,France,3,,2,,28000,"Jose Rico Perez, Alicante",Third-place match,10-07-1982,3–2,Spain,1982
Poland,Italy,0,,2,,50000,"Camp Nou, Barcelona",Semi-finals,08-07-1982,0–2,Spain,1982
West Germany,France,3,,3,,70000,"Ramon Sanchez Pizjuan, Seville",Semi-finals,08-07-1982,(5) 3–3 (4),Spain,1982
Italy,Brazil,3,,2,,44000,"Sarria, Barcelona",Second group stage,05-07-1982,3–2,Spain,1982
Spain,England,0,,0,,75000,"Santiago Bernabeu, Madrid",Second group stage,05-07-1982,0–0,Spain,1982
France,Northern Ireland,4,,1,,37000,"Vicente Calderon, Madrid",Second group stage,04-07-1982,4–1,Spain,1982
Poland,Soviet Union,0,,0,,65000,"Camp Nou, Barcelona",Second group stage,04-07-1982,0–0,Spain,1982
Argentina,Brazil,1,,3,,44000,"Sarria, Barcelona",Second group stage,02-07-1982,1–3,Spain,1982
West Germany,Spain,2,,1,,90089,"Santiago Bernabeu, Madrid",Second group stage,02-07-1982,2–1,Spain,1982
Austria,Northern Ireland,2,,2,,20000,"Vicente Calderon, Madrid",Second group stage,01-07-1982,2–2,Spain,1982
Belgium,Soviet Union,0,,1,,45000,"Camp Nou, Barcelona",Second group stage,01-07-1982,0–1,Spain,1982
Italy,Argentina,2,,1,,43000,"Sarria, Barcelona",Second group stage,29-06-1982,2–1,Spain,1982
West Germany,England,0,,0,,75000,"Santiago Bernabeu, Madrid",Second group stage,29-06-1982,0–0,Spain,1982
Austria,France,0,,1,,37000,"Vicente Calderon, Madrid",Second group stage,28-06-1982,0–1,Spain,1982
Poland,Belgium,3,,0,,65000,"Camp Nou, Barcelona",Second group stage,28-06-1982,3–0,Spain,1982
England,Kuwait,1,,0,,39700,"San Mames, Bilbao",First group stage,25-06-1982,1–0,Spain,1982
West Germany,Austria,1,,0,,41000,"El Molinon, Gijon",First group stage,25-06-1982,1–0,Spain,1982
Northern Ireland,Spain,1,,0,,49562,"Luis Casanova, Valencia",First group stage,25-06-1982,1–0,Spain,1982
France,Czechoslovakia,1,,1,,28000,"Jose Zorrilla, Valladolid",First group stage,24-06-1982,1–1,Spain,1982
Algeria,Chile,3,,2,,16000,"Carlos Tartiere, Oviedo",First group stage,24-06-1982,3–2,Spain,1982
Honduras,Yugoslavia,0,,1,,25000,"La Romareda, Zaragoza",First group stage,24-06-1982,0–1,Spain,1982
Italy,Cameroon,1,,1,,20000,"Estadio Municipal de Balaï¿½dos, Vigo",First group stage,23-06-1982,1–1,Spain,1982
Argentina,El Salvador,2,,0,,32500,"Jose Rico Perez, Alicante",First group stage,23-06-1982,2–0,Spain,1982
Brazil,New Zealand,4,,0,,43000,"Benito Villamarin, Seville",First group stage,23-06-1982,4–0,Spain,1982
Poland,Peru,5,,1,,25000,"Riazor, La Coruï¿½A",First group stage,22-06-1982,5–1,Spain,1982
Belgium,Hungary,1,,1,,37000,"Nuevo Estadio, Elche",First group stage,22-06-1982,1–1,Spain,1982
Soviet Union,Scotland,2,,2,,45000,"La Rosaleda, Malaga",First group stage,22-06-1982,2–2,Spain,1982
Algeria,Austria,0,,2,,22000,"Carlos Tartiere, Oviedo",First group stage,21-06-1982,0–2,Spain,1982
France,Kuwait,4,,1,,30043,"Jose Zorrilla, Valladolid",First group stage,21-06-1982,4–1,Spain,1982
Honduras,Northern Ireland,1,,1,,15000,"La Romareda, Zaragoza",First group stage,21-06-1982,1–1,Spain,1982
West Germany,Chile,4,,1,,42000,"El Molinon, Gijon",First group stage,20-06-1982,4–1,Spain,1982
England,Czechoslovakia,2,,0,,41123,"San Mames, Bilbao",First group stage,20-06-1982,2–0,Spain,1982
Spain,Yugoslavia,2,,1,,48000,"Luis Casanova, Valencia",First group stage,20-06-1982,2–1,Spain,1982
Poland,Cameroon,0,,0,,19000,"Riazor, La Coruï¿½A",First group stage,19-06-1982,0–0,Spain,1982
Soviet Union,New Zealand,3,,0,,19000,"La Rosaleda, Malaga",First group stage,19-06-1982,3–0,Spain,1982
Belgium,El Salvador,1,,0,,15000,"Nuevo Estadio, Elche",First group stage,19-06-1982,1–0,Spain,1982
Italy,Peru,1,,1,,25000,"Estadio Municipal de Balaï¿½dos, Vigo",First group stage,18-06-1982,1–1,Spain,1982
Brazil,Scotland,4,,1,,47379,"Benito Villamarin, Seville",First group stage,18-06-1982,4–1,Spain,1982
Argentina,Hungary,4,,1,,32093,"Jose Rico Perez, Alicante",First group stage,18-06-1982,4–1,Spain,1982
Chile,Austria,0,,1,,22500,"Carlos Tartiere, Oviedo",First group stage,17-06-1982,0–1,Spain,1982
Czechoslovakia,Kuwait,1,,1,,25000,"Jose Zorrilla, Valladolid",First group stage,17-06-1982,1–1,Spain,1982
Yugoslavia,Northern Ireland,0,,0,,25000,"La Romareda, Zaragoza",First group stage,17-06-1982,0–0,Spain,1982
England,France,3,,1,,44172,"San Mames, Bilbao",First group stage,16-06-1982,3–1,Spain,1982
West Germany,Algeria,1,,2,,42000,"El Molinon, Gijon",First group stage,16-06-1982,1–2,Spain,1982
Spain,Honduras,1,,1,,49562,"Luis Casanova, Valencia",First group stage,16-06-1982,1–1,Spain,1982
Peru,Cameroon,0,,0,,11000,"Riazor, La Coruï¿½A",First group stage,15-06-1982,0–0,Spain,1982
Hungary,El Salvador,10,,1,,23000,"Nuevo Estadio, Elche",First group stage,15-06-1982,10–1 ,Spain,1982
Scotland,New Zealand,5,,2,,36000,"La Rosaleda, Malaga",First group stage,15-06-1982,5–2,Spain,1982
Italy,Poland,0,,0,,33000,"Estadio Municipal de Balaï¿½dos, Vigo",First group stage,14-06-1982,0–0,Spain,1982
Brazil,Soviet Union,2,,1,,68000,"Ramon Sanchez Pizjuan, Seville",First group stage,14-06-1982,2–1,Spain,1982
Argentina,Belgium,0,,1,,95000,"Camp Nou, Barcelona",First group stage,13-06-1982,0–1,Spain,1982
Argentina,Netherlands,3,,1,,71483,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Final,25-06-1978,3–1,Argentina,1978
Brazil,Italy,2,,1,,69659,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Third-place match,24-06-1978,2–1,Argentina,1978
Netherlands,Italy,2,,1,,67433,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Second round,21-06-1978,2–1,Argentina,1978
Austria,West Germany,3,,2,,38318,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",Second round,21-06-1978,3–2,Argentina,1978
Brazil,Poland,3,,1,,39586,"San Martin, Mendoza",Second round,21-06-1978,3–1,Argentina,1978
Argentina,Peru,6,,0,,37315,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",Second round,21-06-1978,6–0,Argentina,1978
Poland,Peru,1,,0,,35288,"San Martin, Mendoza",Second round,18-06-1978,1–0,Argentina,1978
West Germany,Netherlands,2,,2,,40750,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",Second round,18-06-1978,2–2,Argentina,1978
Italy,Austria,1,,0,,66695,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Second round,18-06-1978,1–0,Argentina,1978
Argentina,Brazil,0,,0,,37326,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",Second round,18-06-1978,0–0,Argentina,1978
Netherlands,Austria,5,,1,,25050,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",Second round,14-06-1978,5–1,Argentina,1978
West Germany,Italy,0,,0,,67547,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Second round,14-06-1978,0–0,Argentina,1978
Brazil,Peru,3,,0,,31278,"San Martin, Mendoza",Second round,14-06-1978,3–0,Argentina,1978
Argentina,Poland,2,,0,,37091,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",Second round,14-06-1978,2–0,Argentina,1978
Brazil,Austria,1,,0,,35221,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",First round,11-06-1978,1–0,Argentina,1978
Spain,Sweden,1,,0,,42132,"Jose Amalfitani, Buenos Aires",First round,11-06-1978,1–0,Argentina,1978
Peru,IR Iran,4,,1,,21262,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",First round,11-06-1978,4–1,Argentina,1978
Scotland,Netherlands,3,,2,,35130,"San Martin, Mendoza",First round,11-06-1978,3–2,Argentina,1978
France,Hungary,3,,1,,23127,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",First round,10-06-1978,3–1,Argentina,1978
Poland,Mexico,3,,1,,22651,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",First round,10-06-1978,3–1,Argentina,1978
West Germany,Tunisia,0,,0,,30667,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",First round,10-06-1978,0–0,Argentina,1978
Italy,Argentina,1,,0,,71712,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",First round,10-06-1978,1–0,Argentina,1978
Austria,Sweden,1,,0,,41424,"Jose Amalfitani, Buenos Aires",First round,07-06-1978,1–0,Argentina,1978
Brazil,Spain,0,,0,,34771,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",First round,07-06-1978,0–0,Argentina,1978
Netherlands,Peru,0,,0,,28125,"San Martin, Mendoza",First round,07-06-1978,0–0,Argentina,1978
Scotland,IR Iran,1,,1,,7938,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",First round,07-06-1978,1–1,Argentina,1978
Italy,Hungary,3,,1,,26533,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",First round,06-06-1978,3–1,Argentina,1978
West Germany,Mexico,6,,0,,35258,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",First round,06-06-1978,6–0,Argentina,1978
Poland,Tunisia,1,,0,,9624,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",First round,06-06-1978,1–0,Argentina,1978
Argentina,France,2,,1,,71666,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",First round,06-06-1978,2–1,Argentina,1978
Sweden,Brazil,1,,1,,32569,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",First round,03-06-1978,1–1,Argentina,1978
Austria,Spain,2,,1,,40841,"Jose Amalfitani, Buenos Aires",First round,03-06-1978,2–1,Argentina,1978
Peru,Scotland,3,,1,,37927,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",First round,03-06-1978,3–1,Argentina,1978
Netherlands,IR Iran,3,,0,,33431,"San Martin, Mendoza",First round,03-06-1978,3–0,Argentina,1978
Italy,France,2,,1,,42373,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",First round,02-06-1978,2–1,Argentina,1978
Tunisia,Mexico,3,,1,,17396,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",First round,02-06-1978,3–1,Argentina,1978
Argentina,Hungary,2,,1,,71615,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",First round,02-06-1978,2–1,Argentina,1978
West Germany,Poland,0,,0,,67579,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",First round,01-06-1978,0–0,Argentina,1978
Netherlands,West Germany,1,,2,,78200,"Olympiastadion, Munich",Final,07-07-1974,1–2,Germany,1974
Brazil,Poland,0,,1,,77100,"Olympiastadion, Munich",Third-place match,06-07-1974,0–1,Germany,1974
Poland,West Germany,0,,1,,62000,"Waldstadion, Frankfurt/Main",Second round,03-07-1974,0–1,Germany,1974
Netherlands,Brazil,2,,0,,53700,"Westfalenstadion, Dortmund",Second round,03-07-1974,2–0,Germany,1974
Argentina,Germany DR,1,,1,,54254,"Parkstadion, Gelsenkirchen",Second round,03-07-1974,1–1,Germany,1974
Sweden,Yugoslavia,2,,1,,41300,"Rheinstadion, Dï¿½Sseldorf",Second round,03-07-1974,2–1,Germany,1974
Poland,Yugoslavia,2,,1,,58000,"Waldstadion, Frankfurt/Main",Second round,30-06-1974,2–1,Germany,1974
Argentina,Brazil,1,,2,,39400,"Niedersachsenstadion, Hanover",Second round,30-06-1974,1–2,Germany,1974
Germany DR,Netherlands,0,,2,,68348,"Parkstadion, Gelsenkirchen",Second round,30-06-1974,0–2,Germany,1974
West Germany,Sweden,4,,2,,67800,"Rheinstadion, Dï¿½Sseldorf",Second round,30-06-1974,4–2,Germany,1974
Yugoslavia,West Germany,0,,2,,67385,"Rheinstadion, Dï¿½Sseldorf",Second round,26-06-1974,0–2,Germany,1974
Brazil,Germany DR,1,,0,,59863,"Niedersachsenstadion, Hanover",Second round,26-06-1974,1–0,Germany,1974
Sweden,Poland,0,,1,,44955,"Neckarstadion, Stuttgart",Second round,26-06-1974,0–1,Germany,1974
Netherlands,Argentina,4,,0,,56548,"Parkstadion, Gelsenkirchen",Second round,26-06-1974,4–0,Germany,1974
Bulgaria,Netherlands,1,,4,,53300,"Westfalenstadion, Dortmund",First round,23-06-1974,1–4,Germany,1974
Poland,Italy,2,,1,,70100,"Neckarstadion, Stuttgart",First round,23-06-1974,2–1,Germany,1974
Sweden,Uruguay,3,,0,,28300,"Rheinstadion, Dï¿½Sseldorf",First round,23-06-1974,3–0,Germany,1974
Argentina,Haiti,4,,1,,25900,"Olympiastadion, Munich",First round,23-06-1974,4–1,Germany,1974
Scotland,Yugoslavia,1,,1,,56000,"Waldstadion, Frankfurt/Main",First round,22-06-1974,1–1,Germany,1974
Australia,Chile,0,,0,,17400,"Olympiastadion, Berlin West",First round,22-06-1974,0–0,Germany,1974
Zaire,Brazil,0,,3,,36200,"Parkstadion, Gelsenkirchen",First round,22-06-1974,0–3,Germany,1974
Germany DR,West Germany,1,,0,,60200,"Volksparkstadion, Hamburg",First round,22-06-1974,1–0,Germany,1974
Haiti,Poland,0,,7,,25300,"Olympiastadion, Munich",First round,19-06-1974,0–7,Germany,1974
Bulgaria,Uruguay,1,,1,,13400,"Niedersachsenstadion, Hanover",First round,19-06-1974,1–1,Germany,1974
Netherlands,Sweden,0,,0,,53700,"Westfalenstadion, Dortmund",First round,19-06-1974,0–0,Germany,1974
Argentina,Italy,1,,1,,70100,"Neckarstadion, Stuttgart",First round,19-06-1974,1–1,Germany,1974
Australia,West Germany,0,,3,,53300,"Volksparkstadion, Hamburg",First round,18-06-1974,0–3,Germany,1974
Yugoslavia,Zaire,9,,0,,31700,"Parkstadion, Gelsenkirchen",First round,18-06-1974,9–0,Germany,1974
Chile,Germany DR,1,,1,,28300,"Olympiastadion, Berlin West",First round,18-06-1974,1–1,Germany,1974
Scotland,Brazil,0,,0,,62000,"Waldstadion, Frankfurt/Main",First round,18-06-1974,0–0,Germany,1974
Uruguay,Netherlands,0,,2,,55100,"Niedersachsenstadion, Hanover",First round,15-06-1974,0–2,Germany,1974
Sweden,Bulgaria,0,,0,,23800,"Rheinstadion, Dï¿½Sseldorf",First round,15-06-1974,0–0,Germany,1974
Italy,Haiti,3,,1,,53000,"Olympiastadion, Munich",First round,15-06-1974,3–1,Germany,1974
Poland,Argentina,3,,2,,32700,"Neckarstadion, Stuttgart",First round,15-06-1974,3–2,Germany,1974
West Germany,Chile,1,,0,,81100,"Olympiastadion, Berlin West",First round,14-06-1974,1–0,Germany,1974
Germany DR,Australia,2,,0,,17000,"Volksparkstadion, Hamburg",First round,14-06-1974,2–0,Germany,1974
Zaire,Scotland,0,,2,,27000,"Westfalenstadion, Dortmund",First round,14-06-1974,0–2,Germany,1974
Brazil,Yugoslavia,0,,0,,62000,"Waldstadion, Frankfurt/Main",First round,13-06-1974,0–0,Germany,1974
Brazil,Italy,4,,1,,107412,"Estadio Azteca, Mexico City",Final,21-06-1970,4–1,Mexico,1970
West Germany,Uruguay,1,,0,,104403,"Estadio Azteca, Mexico City",Third-place match,20-06-1970,1–0,Mexico,1970
Italy,West Germany,4,,3,,102444,"Estadio Azteca, Mexico City",Semi-finals,17-06-1970,4–3,Mexico,1970
Brazil,Uruguay,3,,1,,51261,"Jalisco, Guadalajara",Semi-finals,17-06-1970,3–1,Mexico,1970
Brazil,Peru,4,,2,,54233,"Jalisco, Guadalajara",Quarter-finals,14-06-1970,4–2,Mexico,1970
Italy,Mexico,4,,1,,26851,"Luis Dosal, Toluca",Quarter-finals,14-06-1970,4–1,Mexico,1970
Uruguay,Soviet Union,1,,0,,26085,"Estadio Azteca, Mexico City",Quarter-finals,14-06-1970,1–0,Mexico,1970
West Germany,England,3,,2,,23357,"Nou Camp - Estadio Leï¿½n, Leon",Quarter-finals,14-06-1970,3–2,Mexico,1970
Mexico,Belgium,1,,0,,108192,"Estadio Azteca, Mexico City",Group stage,11-06-1970,1–0,Mexico,1970
Italy,Israel,0,,0,,9890,"Luis Dosal, Toluca",Group stage,11-06-1970,0–0,Mexico,1970
Bulgaria,Morocco,1,,1,,12299,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,11-06-1970,1–1,Mexico,1970
England,Czechoslovakia,1,,0,,49292,"Jalisco, Guadalajara",Group stage,11-06-1970,1–0,Mexico,1970
West Germany,Peru,3,,1,,17875,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,10-06-1970,3–1,Mexico,1970
Brazil,Romania,3,,2,,50804,"Jalisco, Guadalajara",Group stage,10-06-1970,3–2,Mexico,1970
Sweden,Uruguay,1,,0,,18163,"Cuauhtemoc, Puebla",Group stage,10-06-1970,1–0,Mexico,1970
Soviet Union,El Salvador,2,,0,,89979,"Estadio Azteca, Mexico City",Group stage,10-06-1970,2–0,Mexico,1970
Mexico,El Salvador,4,,0,,103058,"Estadio Azteca, Mexico City",Group stage,07-06-1970,4–0,Mexico,1970
Brazil,England,1,,0,,66843,"Jalisco, Guadalajara",Group stage,07-06-1970,1–0,Mexico,1970
West Germany,Bulgaria,5,,2,,12710,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,07-06-1970,5–2,Mexico,1970
Sweden,Israel,1,,1,,9624,"Luis Dosal, Toluca",Group stage,07-06-1970,1–1,Mexico,1970
Romania,Czechoslovakia,2,,1,,56818,"Jalisco, Guadalajara",Group stage,06-06-1970,2–1,Mexico,1970
Uruguay,Italy,0,,0,,29968,"Cuauhtemoc, Puebla",Group stage,06-06-1970,0–0,Mexico,1970
Soviet Union,Belgium,4,,1,,95261,"Estadio Azteca, Mexico City",Group stage,06-06-1970,4–1,Mexico,1970
Peru,Morocco,3,,0,,13537,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,06-06-1970,3–0,Mexico,1970
Belgium,El Salvador,3,,0,,92205,"Estadio Azteca, Mexico City",Group stage,03-06-1970,3–0,Mexico,1970
Brazil,Czechoslovakia,4,,1,,52897,"Jalisco, Guadalajara",Group stage,03-06-1970,4–1,Mexico,1970
Italy,Sweden,1,,0,,13433,"Luis Dosal, Toluca",Group stage,03-06-1970,1–0,Mexico,1970
West Germany,Morocco,2,,1,,12942,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,03-06-1970,2–1,Mexico,1970
England,Romania,1,,0,,50560,"Jalisco, Guadalajara",Group stage,02-06-1970,1–0,Mexico,1970
Peru,Bulgaria,3,,2,,13765,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,02-06-1970,3–2,Mexico,1970
Uruguay,Israel,2,,0,,20654,"Cuauhtemoc, Puebla",Group stage,02-06-1970,2–0,Mexico,1970
Mexico,Soviet Union,0,,0,,107160,"Estadio Azteca, Mexico City",Group stage,31-05-1970,0–0,Mexico,1970
England,West Germany,4,,2,,96924,"Wembley Stadium, London",Final,30-07-1966,4–2,England,1966
Portugal,Soviet Union,2,,1,,87696,"Wembley Stadium, London",Third-place match,28-07-1966,2–1,England,1966
England,Portugal,2,,1,,94493,"Wembley Stadium, London",Semi-finals,26-07-1966,2–1,England,1966
West Germany,Soviet Union,2,,1,,38273,"Goodison Park, Liverpool",Semi-finals,25-07-1966,2–1,England,1966
Portugal,Korea DPR,5,,3,,40248,"Goodison Park, Liverpool",Quarter-finals,23-07-1966,5–3,England,1966
England,Argentina,1,,0,,90584,"Wembley Stadium, London",Quarter-finals,23-07-1966,1–0,England,1966
Soviet Union,Hungary,2,,1,,26844,"Roker Park Ground, Sunderland",Quarter-finals,23-07-1966,2–1,England,1966
West Germany,Uruguay,4,,0,,40007,"Hillsborough, Sheffield",Quarter-finals,23-07-1966,4–0,England,1966
England,France,2,,0,,98270,"Wembley Stadium, London",Group stage,20-07-1966,2–0,England,1966
Hungary,Bulgaria,3,,1,,24129,"Old Trafford Stadium, Manchester",Group stage,20-07-1966,3–1,England,1966
West Germany,Spain,2,,1,,42187,"Villa Park, Birmingham",Group stage,20-07-1966,2–1,England,1966
Soviet Union,Chile,2,,1,,16027,"Roker Park Ground, Sunderland",Group stage,20-07-1966,2–1,England,1966
Uruguay,Mexico,0,,0,,61112,"Wembley Stadium, London",Group stage,19-07-1966,0–0,England,1966
Argentina,Switzerland,2,,0,,32127,"Hillsborough, Sheffield",Group stage,19-07-1966,2–0,England,1966
Portugal,Brazil,3,,1,,58479,"Goodison Park, Liverpool",Group stage,19-07-1966,3–1,England,1966
Korea DPR,Italy,1,,0,,17829,"Ayresome Park, Middlesbrough",Group stage,19-07-1966,1–0,England,1966
West Germany,Argentina,0,,0,,46587,"Villa Park, Birmingham",Group stage,16-07-1966,0–0,England,1966
Soviet Union,Italy,1,,0,,27793,"Roker Park Ground, Sunderland",Group stage,16-07-1966,1–0,England,1966
Portugal,Bulgaria,3,,0,,25438,"Old Trafford Stadium, Manchester",Group stage,16-07-1966,3–0,England,1966
England,Mexico,2,,0,,92570,"Wembley Stadium, London",Group stage,16-07-1966,2–0,England,1966
Spain,Switzerland,2,,1,,32028,"Hillsborough, Sheffield",Group stage,15-07-1966,2–1,England,1966
Uruguay,France,2,,1,,45662,"White City, London",Group stage,15-07-1966,2–1,England,1966
Hungary,Brazil,3,,1,,51387,"Goodison Park, Liverpool",Group stage,15-07-1966,3–1,England,1966
Korea DPR,Chile,1,,1,,13792,"Ayresome Park, Middlesbrough",Group stage,15-07-1966,1–1,England,1966
Argentina,Spain,2,,1,,42738,"Villa Park, Birmingham",Group stage,13-07-1966,2–1,England,1966
France,Mexico,1,,1,,69237,"Wembley Stadium, London",Group stage,13-07-1966,1–1,England,1966
Italy,Chile,2,,0,,27199,"Roker Park Ground, Sunderland",Group stage,13-07-1966,2–0,England,1966
Portugal,Hungary,3,,1,,29886,"Old Trafford Stadium, Manchester",Group stage,13-07-1966,3–1,England,1966
Brazil,Bulgaria,2,,0,,47308,"Goodison Park, Liverpool",Group stage,12-07-1966,2–0,England,1966
Soviet Union,Korea DPR,3,,0,,23006,"Ayresome Park, Middlesbrough",Group stage,12-07-1966,3–0,England,1966
West Germany,Switzerland,5,,0,,36127,"Hillsborough, Sheffield",Group stage,12-07-1966,5–0,England,1966
England,Uruguay,0,,0,,87148,"Wembley Stadium, London",Group stage,11-07-1966,0–0,England,1966
Brazil,Czechoslovakia,3,,1,,68679,"Nacional, Santiago De Chile",Final,17-06-1962,3–1,Chile,1962
Chile,Yugoslavia,1,,0,,66697,"Nacional, Santiago De Chile",Third-place match,16-06-1962,1–0,Chile,1962
Brazil,Chile,4,,2,,76594,"Nacional, Santiago De Chile",Semi-finals,13-06-1962,4–2,Chile,1962
Czechoslovakia,Yugoslavia,3,,1,,5890,"Estadio Sausalito, Vina Del Mar",Semi-finals,13-06-1962,3–1,Chile,1962
Chile,Soviet Union,2,,1,,17268,"Carlos Dittborn, Arica",Quarter-finals,10-06-1962,2–1,Chile,1962
Brazil,England,3,,1,,17736,"Estadio Sausalito, Vina Del Mar",Quarter-finals,10-06-1962,3–1,Chile,1962
Czechoslovakia,Hungary,1,,0,,11690,"Estadio El Teniente-Codelco, Rancagua",Quarter-finals,10-06-1962,1–0,Chile,1962
Yugoslavia,West Germany,1,,0,,63324,"Nacional, Santiago De Chile",Quarter-finals,10-06-1962,1–0,Chile,1962
England,Bulgaria,0,,0,,5700,"Estadio El Teniente-Codelco, Rancagua",Group stage,07-06-1962,0–0,Chile,1962
Mexico,Czechoslovakia,3,,1,,10648,"Estadio Sausalito, Vina Del Mar",Group stage,07-06-1962,3–1,Chile,1962
Italy,Switzerland,3,,0,,59828,"Nacional, Santiago De Chile",Group stage,07-06-1962,3–0,Chile,1962
Yugoslavia,Colombia,5,,0,,7167,"Carlos Dittborn, Arica",Group stage,07-06-1962,5–0,Chile,1962
West Germany,Chile,2,,0,,67224,"Nacional, Santiago De Chile",Group stage,06-06-1962,2–0,Chile,1962
Soviet Union,Uruguay,2,,1,,9973,"Carlos Dittborn, Arica",Group stage,06-06-1962,2–1,Chile,1962
Hungary,Argentina,0,,0,,7945,"Estadio El Teniente-Codelco, Rancagua",Group stage,06-06-1962,0–0,Chile,1962
Brazil,Spain,2,,1,,18715,"Estadio Sausalito, Vina Del Mar",Group stage,06-06-1962,2–1,Chile,1962
Spain,Mexico,1,,0,,11875,"Estadio Sausalito, Vina Del Mar",Group stage,03-06-1962,1–0,Chile,1962
Soviet Union,Colombia,4,,4,,8040,"Carlos Dittborn, Arica",Group stage,03-06-1962,4–4,Chile,1962
Hungary,Bulgaria,6,,1,,7442,"Estadio El Teniente-Codelco, Rancagua",Group stage,03-06-1962,6–1,Chile,1962
West Germany,Switzerland,2,,1,,64922,"Nacional, Santiago De Chile",Group stage,03-06-1962,2–1,Chile,1962
Chile,Italy,2,,0,,66057,"Nacional, Santiago De Chile",Group stage,02-06-1962,2–0,Chile,1962
Brazil,Czechoslovakia,0,,0,,14903,"Estadio Sausalito, Vina Del Mar",Group stage,02-06-1962,0–0,Chile,1962
England,Argentina,3,,1,,9794,"Estadio El Teniente-Codelco, Rancagua",Group stage,02-06-1962,3–1,Chile,1962
Yugoslavia,Uruguay,3,,1,,8829,"Carlos Dittborn, Arica",Group stage,02-06-1962,3–1,Chile,1962
West Germany,Italy,0,,0,,65440,"Nacional, Santiago De Chile",Group stage,31-05-1962,0–0,Chile,1962
Hungary,England,2,,1,,7938,"Estadio El Teniente-Codelco, Rancagua",Group stage,31-05-1962,2–1,Chile,1962
Czechoslovakia,Spain,1,,0,,12700,"Estadio Sausalito, Vina Del Mar",Group stage,31-05-1962,1–0,Chile,1962
Soviet Union,Yugoslavia,2,,0,,9622,"Carlos Dittborn, Arica",Group stage,31-05-1962,2–0,Chile,1962
Chile,Switzerland,3,,1,,65006,"Nacional, Santiago De Chile",Group stage,30-05-1962,3–1,Chile,1962
Uruguay,Colombia,2,,1,,7908,"Carlos Dittborn, Arica",Group stage,30-05-1962,2–1,Chile,1962
Brazil,Mexico,2,,0,,10484,"Estadio Sausalito, Vina Del Mar",Group stage,30-05-1962,2–0,Chile,1962
Argentina,Bulgaria,1,,0,,7134,"Estadio El Teniente-Codelco, Rancagua",Group stage,30-05-1962,1–0,Chile,1962
Brazil,Sweden,5,,2,,49737,"Rasunda Stadium, Solna",Final,29-06-1958,5–2,Sweden,1958
France,West Germany,6,,3,,32483,"Nya Ullevi, Gothenburg",Third-place match,28-06-1958,6–3,Sweden,1958
Sweden,West Germany,3,,1,,49471,"Nya Ullevi, Gothenburg",Semi-finals,24-06-1958,3–1,Sweden,1958
Brazil,France,5,,2,,27100,"Rasunda Stadium, Solna",Semi-finals,24-06-1958,5–2,Sweden,1958
France,Northern Ireland,4,,0,,11800,"Idrottsparken, Norrkï¿½Ping",Quarter-finals,19-06-1958,4–0,Sweden,1958
